,Question,Answer
79,Did he become a professor before the revolutionary movements against the king of Sardinia?,yes
80,Do ants belong to the Hymenoptera order?,yes
81,Do ants belong to the Hymenoptera order?,yes
82,Are ants used in cuisine?,yes
83,Are ants used in cuisine?,yes
84,Does an ant's head contain sensory organs?,yes
85,Does an ant's head contain sensory organs?,yes
86,How do most ants travel?,most ants travel by walking
87,How do most ants travel?,by walking
88,"In ant colonies, what are the fertile female ants called?",queens
89,"In ant colonies, what are the fertile female ants called?",queens
90,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants
91,Who wrote about ants in A Tramp Abroad?,Mark Twain
92,"Do the ants eat plants, meats, or both?",both
93,What organs gives a bull ant its good sight?,compound eyes
94,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed
95,What may happen to red fire ants if we use boiling water on the queen?,die
96,Are ants found in Antartica?,"No, there are no ants in antarctica."
98,Do male ants take flight before females?,"Yes, male ants take flight before females."
100,Do worker ants have wings?,"No, worker ants do not have wings."
102,What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments."
104,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.
106,Where are bullet ants located?,Bullet ants are located in Central and South America.
108,Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees."
110,What is the most common color of ants?,Most ants are red or black.
112,Do all ants build nests?,"No, not all ants build nests."
114,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok
115,Do ants thrive in most ecosystems?,Yes.
116,Are several species of ants able to use the Earths magnetic field?,yes
117,Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids."
118,Do some caterpillars produce vibrations as well as sounds?,yes
119,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes
120,Is the ant a marsupial?,no
121,Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist."
122,Is Antwerp a city?,Yes
124,Is Antwerp a municipality?,Yes
126,Is Antwerp in Belgium?,Yes
128,What is Antwerp?,Antwerp is a city and municipality in Belgium.
130,What is the population of the city of Antwerp?,"Antwerp's population is 472,071."
132,Where is the city of Antwerp?,Antwerp is in Belgium
134,Why is Antwerp important to fashion?,Yes
136,Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river
138,How many municipalities does Antwerp have?,"None, Antwerp is a municipality."
140,Is Arabic a Central Semitic language?,Yes
142,Was Arabic a major vehicle of culture in Europe?,Yes
144,Is Arabic classified alongside Semitic languages?,Yes
146,How many people speak the Arabic language?,280 million people.
148,When was Arabic calligraphy invented?,Many styles were developed after 786.
150,Where is Arabic spoken?,The Middle East and North Africa
152,Why is Arabic related to Islam?,Arabic is the liturgical language of Islam
154,Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close."
157,Is Arabic the largest member of the Semitic language family?,yes
158,Is Arabic the largest member of the Semitic language family?,yes
159,Does Modern Standard Arabic continue to evolve like other languages?,yes
160,Does Modern Standard Arabic continue to evolve like other languages?,yes
161,Is Hassaniya Arabic spoken in Mauritania?,yes
162,Is Hassaniya Arabic spoken in Mauritania?,Yes
163,What is the only variety of modern Arabic that has acquired official language status?,maltese
164,What is the only variety of modern Arabic that has acquired official language status?,Maltese
165,Egyptian Arabic is spoken by how many in Egypt?,76 million
166,Egyptian Arabic is spoken by how many in Egypt?,76 million
167,Where are the Western Arabic numerals used?,North Africa
168,Where are the Western Arabic numerals used?,present-day North Africa
169,The most active Academies of Arabic Language are found where?,damascus and cairo
170,Hassan Massoudy is a master of what genre?,Hassan Massoudy
171,Hassan Massoudy is a master of what genre?,Arabic calligraphy
172,Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.
173,Is Berlin the capital city of Germany?,yes
174,Is Berlin the largest city in Germany?,Berlin is Germany's largest city.
175,Is Berlin the largest city in Germany?,yes
176,Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. 
177,Is Schloss Charlottenburg the largest existing palace in Berlin?,yes
178,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. 
179,Which building is the site of the German parliament?,The Reichstag building
180,Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. 
181,Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final
182,Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.
183,Where is the Berliner Dom located?,on the Spree Island
184,Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.
185,Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building
186,"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?","Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources."
187,"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?",Because burning lignite produces harmful emissions
188,What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.
189,What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde
190,Is Berlin the headquarters of Springer?,"Yes, Berlin is the headquarters of Springer."
192,Does the Gendarmenmarkt border the French Cathedral?,"Yes, the Gendarmenmarkt borders the French Cathedral."
194,Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin."
196,Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.
198,Where does the German President live?,"The German President lives west of the center, Schloss Bellevue."
200,When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.
202,Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.
204,How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.
206,Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.
208,Who was Blaise Pascal's father?,"His father, Ãtienne Pascal (1588â1651), who also had an interest in science and mathematics, was a local judge"
209,Who was Blaise Pascal's father?,Ãtienne Pascal.
210,Was Pascal a French mathematician?,yes
211,Was Pascal a French mathematician?,Yes.
212,Did Pascal have poor health throughout his life?,yes
213,Did Pascal have poor health throughout his life?,Yes.
214,How old was Pascal when he lost his mother?,at the age of three
215,How old was Pascal when he lost his mother?,3.
216,Who was Pascal's younger sister?,Jacqueline
217,Who was Pascal's younger sister?,Jacqueline.
218,What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism
219,What led Pascal to his religious conversion?,sickness and Jansenism
220,How old was Pascal when he died?,39
221,How old was Pascal when he died?,1662-08-19.
222,Did Pascal write about cycloid before 1658?,no
223,Is there a programming language called Pascal?,yes
224,Is there a programming language called Pascal?,Yes.
225,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris
226,Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was"
227,Who died the next morning?,Pascal.
228,When did his father die?,1651
229,When did his father die?,His father died in 1651.
230,"Was he a child prodigy who was educated by his father, a civil servant?",yes
231,"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes
232,Did Pascal also write in defense of the scientific method?,Yes
233,Do butterflies make sounds?,Some butterflies make sounds.
235,Do butterflies have two eyes?,"Yes, butterflies have two eyes."
237,Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.
239,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.
241,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.
243,What butterfly is migratory?,The Monarch butterfly is migratory.
245,Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera."
247,What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.
249,What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.
260,Was Charles-Augustin de Coulomb a Spanish Biologist?,No.
261,Was Charles-Augustin de Coulomb a Spanish Biologist?,"No, he was a French physicist."
262,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.
263,Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him."
264,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.
265,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle."
266,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
267,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
268,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.
269,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.
270,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.
271,Did Charles-Augustin de Coulomb come from a poor family?,No.
272,Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade."
273,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
274,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
275,Where is Collège des Quatre-Nations located?,In Montpellier.
276,Where is Collège des Quatre-Nations located?,In Paris.
277,What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism
278,What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.
279,"Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.
280,Who determined to pursue mathematics?,Charles-Augustin de Coulomb
281,When did Coulomb return to Paris?,In 1759.
282,Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes
283,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes
284,Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in AngoulÃªme, France, to a well-to-do family"
285,"Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?",Yes
286,"The SI unit of charge, the coulomb, was named after him?",Yes
287,"Did Coulomb die in AngoulÃªme, France, to a well-to-do family?",No
288,Are all spoken varieties of Chinese tonal and analytical?,yes
289,Are all spoken varieties of Chinese tonal and analytical?,yes
290,Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes
291,Is fifty percent or more of Korean vocabulary of Chinese origin?,yes
292,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes
293,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes
294,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
295,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
296,"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin"""
297,"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?",Standard Mandarin
298,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries"
299,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678"
300,What does the PRC government classify as literacy amongst workers?,"knowledge of 2,000 characters"
301,What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters
302,How is South China linguistically different from North China?,South China displays more linguistic diversity
303,&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Japanese
304,&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Chinese
305,What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.
306,What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin.
307,Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan."
308,Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan."
309,Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family."
310,Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family."
311,When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.
312,When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.
313,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.
314,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues."""
315,When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties."
316,When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE.
317,How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.
318,How is the pronunciation of foreign words determined?,Foreign words are transliterated into close-match existing Chinese morphemes.
319,What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters."
320,What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty.
321,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.
322,Is a cougar also known as a mountain lion?,yes
323,Are cougars larger than jaguars?,Cougars are not larger than jaguars.
324,Are cougars larger than jaguars?,no
325,"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species."
326,"Does the World Conservation Union consider the cougar a ""least concern"" species?",yes
327,What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range."
328,What are some of the cougar's primary food sources?,"ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses, and sheep"
329,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.
330,How long are cougar adult males (from nose to tail)?,2.4 meters
331,How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.
332,How long is an adult cougar's paw print?,4 inches
333,What are the three heaviest cats in the world?,"The three heaviest cats in the world are the tiger, lion and jaguar."
334,What are the three heaviest cats in the world?,"tiger, lion, and jaguar"
335,"On average, are cougar males heavier than females?","On average, cougar males are heavier than females."
336,"On average, are cougar males heavier than females?",yes
337,What are the three cat species that are native to Canada?,"The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx."
338,What are the three cat species that are native to Canada?,"cougar, bobcat, Canadian lynx"
339,Is one of the parts of a cymbal called a disc?,no
341,Are ride cymbals very common?,yes
343,Does Fender make cymbals?,no
345,What part of the cymbal is the bell?,The center of a Cymbal
347,What's the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica
349,What does it sound like to play cymbals with a cello bow?,squealing car brakes
351,What are cymbals made of?,brass
353,How many cymbals typically go in a drum kit?,at least 3
355,What kinds of musical groups use cymbals?,"Cymbals are used in modern orchestras and many military, marching, concert and other bands"
384,Is the dragonfly associated with late summer as well as early autumn?,Yes
385,Does Exposure to air cause the larva to begin breathing?,Yes (capitalization).
386,"Is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?",Yes.
387,Is the drum a member of the percussion group?,yes
388,Is the drum a member of the percussion group?,yes
389,Does each type of drum head serve its own musical purpose?,yes
390,Does each type of drum head serve its own musical purpose?,yes
391,Is the Aburukuwa a type of drum?,yes
392,Is the Aburukuwa a type of drum?,yes
393,How long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years
394,How long has the basic design of the drum remained unchanged?,thousands of years
395,What is the second biggest factor affecting the sound produced by a drum?,tension
396,What is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum.
397,By what name are drums classified as under the percussion group?,membranophone
398,By what name are drums classified as under the percussion group?,membranous
399,How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep
400,How do rock and roll drummers like their drumheads?,drums that sound loud and deep
401,Whare is the name for drums that have a set of wires held across some of all of the drum heads?,snares
402,Had the drums been used in Sri Lanka since Before Christ?,yes
403,Had the drums been used in Sri Lanka since Before Christ?,yes
404,Is the drum a member of the percussion group?,yes
405,Is the drum a member of the percussion group?,yes
406,Are drums often used in music therapy?,yes
407,Are drums often used in music therapy?,yes
408,Do drums consist of at least eight membranes?,no
409,Do drums consist of at least eight membranes?,no
410,What has the most effect on how a drum sounds?,the drumhead
411,What has the most effect on how a drum sounds?,the drumhead
412,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio
413,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio
414,Drums are usually played by what?,"the hands, or by one or two sticks"
415,Drums are usually played by what?,the hands
416,Has the design of drums changed recently?,no
417,Has the design of drums changed recently?,no
418,Can some cylindrical shell drums have no drum heads?,no
419,Can some cylindrical shell drums have no drum heads?,no
420,Does every drumhead make the same sound?,no
421,Does every drumhead make the same sound?,no
422,Aren't drums often used in music therapy?,"Yes, drums are often used in music therapy."
423,Aren't drums usually played by the hands?,Yes.
424,Are drums usually played by the hands?,Yes
425,Do many such drums have six to ten tension rods?,Yes.
426,"Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?",yes
427,"Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?",Yes
428,Is the electric eel a true eel?,No
429,Is the electric eel a true eel?,"No, the electric eel is not a true eel."
430,Are most eels predators?,Yes
431,Are most eels predators?,"Yes, most eels are predators."
432,Is eel blood toxic to humans?,Yes
433,Is eel blood toxic to humans?,"Yes, eel blood is toxic to humans."
434,How many species of true eels are there?,approximately 800 species
435,How many species of true eels are there?,There are approximately 800 species of true eels.
436,Where is smoked eel considered a delicacy?,"Northern Germany, The Netherlands, Denmark, Sweden"
437,Where is smoked eel considered a delicacy?,"Smoked eel is considered a delicacy in northern Germany, The Netherlands, Denmark and Sweden."
438,How do eels begin life?,"As flat and transparent larvae, called leptocephali"
439,How do eels begin life?,"Eels begin life as flat and transparent larvae, called leptocephali."
440,What types of fins do eels have?,"Dorsal, anal, caudal, tail fins"
441,What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.
442,What do leptocephali eat?,Marine snow
443,What do leptocephali eat?,Leptocephali eat small particles called marine snow.
444,Do all eels live in fresh water?,No
445,Do all eels live in fresh water?,"No, not all eels live in fresh water."
446,Is Finnish an official language of the European Union?,Yes
447,Is Finnish an official language of the European Union?,"Yes, Finnish is an official language of the European Union."
448,Are the dialects of Finnish divided into two groups?,Yes
449,Are the dialects of Finnish divided into two groups?,"Yes, the dialects of Finnish are divided into two groups."
450,Is Finnish threatened by English?,No
451,Is Finnish threatened by English?,"No, Finnish is not threatened by English."
452,When did Proto-Uralic language arrive in Finland?,Around 1900 BCE
453,When did Proto-Uralic language arrive in Finland?,Proto-Uralic language arrived in Finland around 1900 BCE.
454,What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology
455,What are characteristic features of Finnish?,Characteristic features of Finnish are vowel harmony and an agglutinative morphology.
456,Where is the Kven language spoken?,Norway
457,Where is the Kven language spoken?,The Kven language is spoken in Northern Norway.
458,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917
459,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917.
460,Who wrote the first novel in Finnish?,Aleksis Kivi
461,Who wrote the first novel in Finnish?,The first novel in Finnish was published by Aleksis Kivi.
462,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish
463,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish defined the official Finnish language.
464,What is the earliest extant transverse flute?,it dates from 433 BC
465,What is the earliest extant transverse flute?,Chi
466,When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole
467,When does a flute produce sound?,When a stream of air directed across a hole in the instrument creats a vibration of air at the hole.
468,How can a flute's volume be increased?,a flute's volume can generally be increased by making its resonator and tone holes larger
469,How can a flute's volume be increased?,A flute's volume can be increased by making its resonator and tone holes larger.
470,Do open-ended flutes have brighter timbres?,yes
471,Do open-ended flutes have brighter timbres?,Yes.
472,Where was the oldest flute ever discovered found?,Germany
473,Where was the oldest flute ever discovered found?,Various parts of Germany.
474,Are Western flutes simpler than Indian flutes?,no
475,Are Western flutes simpler than Indian flutes?,Yes.
476,Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger
477,Why is a police whistle very wide for its pitch?,It's volume is high either because of its larger resonator or larger tone holes.
478,What are the two main varieties of Indian flutes?,"The first, the Bansuri. The second, the Venu or Pullanguzhal"
479,What are the two main varieties of Indian flutes?,Bansuri and the Venu or Pullanguzhal.
480,Has the flute been dated to prehistoric times?,yes
481,Has the flute been dated to prehistoric times?,Yes
482,Was the pan flute used in Greece?,yes
483,Was the pan flute used in Greece?,Yes
484,Can a flute be played with several different air sources?,yes
485,Can a flute be played with several different air sources?,Yes
486,When was the pan flute used in Greece?,the 7th century BC
487,When was the pan flute used in Greece?,7th century BC
488,When did concert flutes begin appearing in concert ensembles?,the 16th-century
490,How many main varieties of Indian flutes are currently used?,two
491,How many main varieties of Indian flutes are currently used?,Two
492,What material is a chi flute fashioned from?,lacquered bamboo
493,What material is a chi flute fashioned from?,Lacquered bamboo
494,How does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument
495,How does a flute player change the pitch of the sound?,Opening and closing holes in the body of the instrument
496,What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle
497,What is the most basic form of the flute?,Open tube which is blown like a bottle
498,Has the dragon historically served as China's national emblem?,yes
499,Has the dragon historically served as China's national emblem?,Yes
500,Do pandas hibernate?,no
501,Do pandas hibernate?,No
502,Do giant pandas attack humans?,yes
